latitude,longitude,rainfall,soil_type,elevation,groundwater_depth,slope,land_use,borewell_suitability
20.4025,74.905,849.9,Sandy,207.8,15.47,8.61,Agricultural,High
20.2327,77.0487,747.3,Loamy,775.2,17.96,2.93,Agricultural,High
20.6933,74.2347,942.5,Sandy,386.8,7.72,6.77,Forest,High
16.0231,76.1671,805.1,Rocky,489.5,10.32,0.71,Barren,Low
19.6793,76.122,1252.0,Clayey,566.9,16.26,9.62,Agricultural,Medium
17.3166,78.7258,1387.4,Sandy,615.9,21.64,1.15,Agricultural,High
15.2727,73.6151,1010.2,Rocky,861.3,6.26,2.74,Barren,Medium
20.3807,75.359,556.9,Loamy,488.1,19.59,8.09,Barren,Medium
20.425,74.2578,755.1,Loamy,580.3,9.6,2.45,Agricultural,High
17.1055,79.8878,828.3,Loamy,664.6,13.27,7.18,Barren,Medium
19.2181,79.4001,1447.8,Sandy,451.4,16.6,8.11,Barren,Medium
15.0331,77.508,903.1,Clayey,598.2,20.48,7.47,Agricultural,Medium
15.4443,77.6125,843.9,Rocky,411.8,25.37,18.6,Forest,Low
20.5964,76.8331,1053.4,Sandy,276.3,10.25,12.2,Forest,High
17.0742,76.4774,955.2,Sandy,790.8,7.42,2.33,Forest,High
18.5004,77.866,962.9,Sandy,640.3,2.66,2.51,Agricultural,High
18.0091,75.9944,1089.2,Rocky,326.5,8.95,5.76,Agricultural,Medium
18.8597,73.9021,660.2,Clayey,395.7,25.23,6.14,Urban,Medium
18.1364,75.052,783.5,Sandy,202.2,1.88,8.58,Forest,High
16.9325,73.6573,722.3,Loamy,596.4,14.49,0.43,Barren,Medium
20.5772,73.0529,1841.3,Loamy,298.3,15.98,0.84,Forest,High
17.028,73.6259,612.2,Loamy,784.9,12.14,1.38,Agricultural,High
19.6585,77.3464,778.9,Sandy,376.1,16.52,0.46,Agricultural,Low
15.2201,77.4738,568.3,Loamy,310.6,14.27,19.32,Urban,Low
18.0205,77.0975,706.1,Loamy,268.4,11.18,1.78,Forest,High
20.9398,75.7918,891.2,Rocky,219.8,26.73,15.96,Urban,Low
15.8356,74.5966,892.0,Loamy,564.6,7.21,4.73,Barren,Medium
18.5874,74.436,1175.7,Clayey,584.1,1.0,0.56,Urban,Medium
15.7014,79.6598,1256.7,Sandy,367.4,33.43,3.92,Urban,Low
16.4523,75.682,608.5,Clayey,453.8,5.07,0.51,Agricultural,Medium
18.7093,74.4917,1384.6,Rocky,510.8,7.67,4.88,Agricultural,High
17.5652,79.2744,951.1,Loamy,156.5,11.86,5.23,Barren,Medium
19.8446,79.0793,935.9,Clayey,549.6,10.77,6.44,Forest,High
19.6276,78.0118,717.1,Loamy,10.0,15.78,3.93,Urban,High
18.6386,78.6459,741.4,Rocky,270.2,24.27,12.0,Agricultural,Low
18.9522,77.8823,200.0,Rocky,433.3,2.72,3.29,Agricultural,Low
15.2012,78.7583,900.4,Loamy,433.9,8.76,4.3,Barren,High
15.0304,74.7477,992.6,Sandy,424.5,4.03,1.67,Urban,High
20.4321,76.5523,824.3,Sandy,220.3,18.61,0.2,Forest,High
18.2972,77.4697,748.6,Loamy,457.6,11.98,17.5,Forest,Medium
15.1582,77.505,1185.9,Clayey,450.7,1.0,1.44,Agricultural,High
16.8659,78.5994,618.2,Loamy,213.8,14.07,3.52,Agricultural,High
15.1235,79.8939,301.9,Rocky,318.4,6.16,0.79,Agricultural,Medium
20.63,73.4219,1056.3,Loamy,629.1,1.0,0.45,Agricultural,High
16.7385,77.1321,1062.4,Loamy,454.2,18.73,1.14,Forest,High
17.2853,74.1168,419.4,Rocky,501.1,4.16,0.08,Agricultural,Medium
19.3335,77.4938,528.2,Sandy,64.5,22.16,9.95,Agricultural,Low
15.9648,76.426,1410.7,Rocky,752.2,9.32,1.71,Forest,High
19.3347,77.874,1025.9,Clayey,220.2,19.42,0.76,Forest,High
17.4537,73.6404,1347.8,Sandy,94.8,25.63,6.81,Agricultural,High
19.5037,75.1067,1045.4,Sandy,562.9,11.66,2.5,Forest,High
20.3554,78.3452,895.4,Loamy,227.7,8.4,0.64,Agricultural,Medium
19.3852,79.4892,985.7,Clayey,289.1,8.95,1.9,Agricultural,High
18.2924,74.5485,972.2,Clayey,159.8,12.69,2.37,Agricultural,Medium
16.017,79.9855,1518.5,Clayey,533.7,23.33,2.2,Forest,High
18.8452,73.5145,986.1,Loamy,512.3,14.22,6.32,Forest,Medium
15.2787,76.1655,1082.7,Sandy,697.2,18.67,1.88,Agricultural,High
19.1821,74.6714,926.5,Clayey,556.9,18.6,2.25,Forest,Low
16.7027,77.8267,1068.3,Sandy,574.4,13.53,9.75,Forest,High
18.6346,73.7462,867.8,Loamy,499.9,10.99,3.19,Urban,High
19.62,74.5434,549.0,Clayey,451.4,18.79,6.77,Urban,Low
18.7398,77.7032,1046.0,Sandy,397.4,14.49,3.68,Agricultural,High
19.617,75.7199,531.1,Loamy,696.2,26.98,7.65,Agricultural,Low
18.2438,79.1865,719.3,Clayey,19.3,18.46,0.91,Forest,Medium
20.4656,77.9986,956.9,Sandy,654.3,20.43,7.09,Agricultural,Low
20.3634,78.879,697.4,Sandy,486.8,8.41,2.43,Agricultural,High
20.0159,77.1506,1174.1,Sandy,376.1,5.1,3.13,Agricultural,High
15.7186,79.077,657.1,Loamy,543.9,27.24,0.36,Forest,Medium
15.5477,79.9799,997.7,Loamy,283.6,17.39,2.86,Agricultural,Medium
19.1514,79.9137,1680.5,Clayey,447.6,8.73,2.5,Agricultural,High
20.9798,74.5992,677.3,Rocky,974.2,1.54,2.61,Forest,Medium
18.7653,73.0684,1225.8,Sandy,546.5,18.8,2.88,Barren,Low
18.8978,79.4084,858.5,Clayey,537.3,17.54,7.96,Barren,Medium
20.1971,79.479,433.2,Loamy,481.0,10.69,9.78,Agricultural,Medium
20.773,73.0813,1101.8,Rocky,1039.8,19.26,4.76,Forest,Medium
18.8185,73.1857,1257.2,Clayey,498.8,13.48,6.97,Agricultural,High
18.3261,73.6089,431.2,Sandy,226.7,14.23,7.18,Forest,Medium
18.521,79.0823,873.5,Sandy,516.8,19.09,17.85,Forest,Medium
16.4841,77.7616,692.3,Clayey,801.7,9.17,0.7,Agricultural,High
15.1204,79.7894,529.7,Loamy,384.1,12.11,5.97,Urban,High
19.392,77.034,705.2,Sandy,285.5,16.73,1.43,Barren,High
17.6348,74.2701,608.5,Loamy,624.9,32.0,6.61,Barren,Low
16.3755,73.1655,1090.6,Sandy,528.8,24.56,4.23,Agricultural,Medium
15.9025,73.4225,1122.6,Loamy,467.1,1.5,3.62,Agricultural,High
15.9114,76.1765,970.0,Sandy,542.6,25.77,20.36,Agricultural,Low
19.1799,73.5996,691.6,Loamy,509.1,11.02,5.82,Agricultural,High
16.3933,79.7405,1117.5,Clayey,296.0,9.43,0.93,Forest,High
20.1964,78.7211,1312.1,Clayey,556.9,13.67,4.71,Agricultural,Medium
16.0402,76.9691,1091.4,Loamy,550.0,28.7,0.99,Agricultural,Low
20.2642,75.9495,1108.9,Loamy,571.3,4.65,4.59,Forest,High
20.5252,79.5562,825.0,Sandy,628.0,11.99,10.79,Agricultural,High
16.4864,74.8183,523.7,Loamy,340.3,19.87,2.84,Barren,Medium
16.0392,77.7461,1028.6,Rocky,456.6,8.76,2.99,Barren,Medium
17.0448,73.3202,613.5,Loamy,423.7,23.06,7.5,Agricultural,High
15.6952,74.5538,1058.9,Clayey,606.9,20.96,2.21,Agricultural,High
15.3089,79.1172,1038.0,Loamy,130.4,27.13,3.3,Agricultural,Medium
18.0188,77.9585,1031.0,Rocky,150.7,33.25,1.73,Agricultural,Medium
18.7737,77.4284,1462.0,Loamy,143.8,17.27,0.35,Barren,High
15.509,79.0804,628.9,Rocky,848.5,1.0,1.03,Agricultural,High
16.625,74.0773,838.9,Loamy,573.4,12.05,6.7,Agricultural,High
19.8592,76.7352,884.6,Clayey,409.1,14.71,4.34,Agricultural,Medium
17.0257,76.6798,837.2,Sandy,867.9,15.85,0.28,Agricultural,Medium
19.1804,75.3931,699.6,Rocky,441.3,20.56,5.23,Urban,Low
16.3456,73.276,371.8,Clayey,522.7,8.15,0.87,Agricultural,High
18.4247,77.6122,799.9,Loamy,668.2,9.98,0.69,Agricultural,High
20.5312,74.3348,812.9,Rocky,235.6,28.8,9.13,Agricultural,Low
17.3547,74.268,668.1,Loamy,437.6,8.48,2.99,Urban,High
16.1071,75.2131,1138.0,Clayey,569.4,16.25,6.04,Forest,High
17.9557,79.7859,950.6,Sandy,532.0,1.0,1.15,Forest,High
18.1471,75.829,737.2,Loamy,30.0,18.8,6.18,Urban,Medium
16.6404,78.5279,1065.4,Sandy,403.1,16.05,13.48,Urban,High
19.3557,79.4212,1047.3,Loamy,368.6,7.3,1.42,Forest,High
17.471,73.1276,1312.3,Clayey,359.7,14.74,4.32,Agricultural,High
16.1223,76.1409,1049.0,Clayey,787.0,29.86,0.05,Agricultural,Low
17.3321,78.4287,847.5,Sandy,276.1,10.44,6.46,Agricultural,High
15.8824,76.1171,836.7,Clayey,541.5,4.66,13.92,Urban,Medium
20.3712,76.6092,1133.9,Sandy,342.2,6.52,12.04,Agricultural,High
19.5691,74.6097,623.3,Sandy,173.8,20.77,5.49,Urban,Medium
15.5322,78.1548,591.7,Clayey,293.0,5.87,4.69,Agricultural,High
17.2456,78.3965,546.3,Loamy,340.1,2.51,2.87,Agricultural,High
15.4366,79.0505,1199.5,Loamy,182.3,15.64,2.04,Barren,High
20.7999,73.1708,1278.8,Loamy,734.5,16.15,10.92,Agricultural,High
15.4552,78.4143,870.4,Loamy,361.4,18.55,2.45,Agricultural,High
17.0895,74.6628,944.0,Sandy,222.5,11.78,8.85,Forest,Medium
15.7176,78.0559,836.0,Sandy,584.6,7.89,5.44,Forest,Medium
15.5215,76.4802,769.1,Loamy,442.1,18.97,4.08,Urban,Medium
15.6808,78.3964,648.2,Rocky,413.8,24.23,1.77,Barren,Low
15.9201,77.8471,1042.9,Rocky,762.6,13.11,15.87,Barren,Medium
20.2599,76.4067,804.3,Rocky,328.7,19.04,1.17,Urban,Low
15.183,79.5991,997.0,Loamy,146.4,1.15,0.66,Forest,High
16.4258,74.164,585.9,Rocky,810.9,1.0,0.04,Barren,Low
20.9213,79.6228,1145.3,Sandy,417.4,17.87,1.43,Forest,High
19.8633,78.1211,1294.5,Rocky,634.9,7.16,9.55,Barren,High
16.3326,78.8445,415.9,Clayey,480.4,30.9,25.86,Barren,Low
16.5527,74.0406,349.1,Loamy,348.4,10.79,9.05,Forest,High
19.6335,75.6132,1317.1,Loamy,458.2,9.15,14.24,Barren,High
17.5526,75.6128,868.2,Rocky,274.0,5.09,11.19,Forest,Low
18.8545,78.269,1517.2,Sandy,249.2,1.0,6.28,Forest,High
19.8768,78.3272,760.6,Sandy,372.6,12.36,2.88,Agricultural,High
16.8703,74.6581,807.6,Clayey,249.2,15.01,7.61,Agricultural,Medium
16.9392,74.9062,1212.0,Sandy,486.9,8.23,0.2,Urban,High
16.9854,73.138,919.3,Loamy,454.5,15.73,2.91,Urban,Medium
20.0118,75.4897,1350.4,Rocky,521.1,2.62,1.84,Barren,High
15.5417,75.0209,473.5,Clayey,746.8,18.89,0.0,Barren,Low
18.5545,78.1625,1227.4,Loamy,643.1,9.9,14.57,Urban,High
17.2576,79.4459,1076.0,Loamy,447.2,26.35,13.51,Forest,High
18.7986,77.1316,984.8,Loamy,596.2,18.57,3.93,Urban,Medium
16.0627,75.207,788.2,Clayey,314.5,16.12,2.4,Urban,Low
18.4468,76.4011,840.8,Loamy,443.3,16.83,2.04,Agricultural,Medium
15.9856,75.1792,1096.8,Sandy,414.6,17.57,0.48,Barren,Medium
18.1127,73.1287,718.3,Sandy,854.7,19.35,2.49,Forest,Medium
15.6107,79.9959,428.7,Loamy,479.0,17.58,0.91,Agricultural,Medium
15.4707,74.5711,651.9,Sandy,176.8,12.0,10.64,Agricultural,Medium
20.7747,74.9184,1547.2,Rocky,413.9,20.86,5.63,Agricultural,Medium
20.3469,73.2773,872.8,Loamy,515.6,18.33,3.52,Agricultural,Medium
15.3485,79.5406,970.1,Loamy,384.4,10.14,1.8,Agricultural,High
16.2098,78.6212,1078.1,Loamy,408.8,12.62,8.32,Barren,High
19.7642,74.4843,635.4,Rocky,92.8,23.06,2.32,Agricultural,Medium
19.8928,75.8611,506.4,Rocky,347.4,29.79,2.5,Forest,Low
18.7219,77.1465,881.8,Sandy,573.9,19.56,4.17,Urban,Medium
15.5121,75.4509,1431.7,Rocky,534.2,1.0,4.04,Barren,High
15.2213,73.077,1368.5,Clayey,396.7,15.75,7.53,Forest,High
19.9356,77.2542,760.2,Rocky,628.1,15.33,13.02,Agricultural,Low
16.1715,73.5387,863.7,Sandy,585.9,21.2,14.76,Urban,Low
18.9457,77.8819,837.3,Sandy,697.2,14.25,5.19,Urban,Low
19.6629,78.5758,1161.4,Sandy,351.4,25.22,3.49,Agricultural,High
15.709,79.7409,1175.8,Rocky,404.1,25.96,2.09,Agricultural,Low
15.7192,79.8908,1341.4,Loamy,283.0,22.29,1.32,Agricultural,High
16.9139,76.7799,674.5,Clayey,518.1,10.8,4.58,Agricultural,High
16.9203,76.4205,843.9,Sandy,508.8,18.53,0.21,Agricultural,High
20.8195,79.1025,826.2,Loamy,270.9,9.33,16.58,Agricultural,High
18.7454,77.4321,1126.3,Loamy,338.5,19.83,1.29,Agricultural,High
17.6492,75.7832,1152.2,Loamy,586.7,16.85,6.5,Agricultural,High
17.9711,77.6448,1187.0,Loamy,10.0,18.66,9.46,Agricultural,High
17.1201,74.4011,579.7,Clayey,633.7,13.81,0.52,Forest,High
16.3728,74.816,549.0,Clayey,414.8,24.65,2.12,Forest,Medium
17.391,74.8692,952.9,Loamy,403.9,5.43,2.21,Agricultural,High
15.531,73.2558,980.2,Clayey,139.2,12.7,5.56,Agricultural,High
15.5831,77.3925,734.6,Sandy,250.4,21.84,0.71,Barren,High
18.1386,76.4922,822.1,Loamy,1047.1,7.77,0.27,Agricultural,High
17.2135,79.7558,1238.0,Rocky,203.5,16.06,5.41,Forest,High
17.3586,78.9118,1033.4,Sandy,433.7,20.54,1.6,Forest,Medium
18.9118,79.6084,1069.7,Sandy,199.5,28.88,3.93,Agricultural,High
17.074,76.6384,1008.5,Rocky,664.3,22.11,2.37,Barren,Low
15.0864,73.5673,1039.9,Sandy,673.5,6.98,7.9,Forest,Low
17.7364,76.7618,866.6,Sandy,10.0,8.29,1.99,Forest,High
19.1637,74.6236,1308.2,Clayey,440.2,1.0,10.12,Agricultural,Medium
20.1389,78.8591,1171.2,Sandy,320.0,10.06,6.9,Forest,High
15.1591,74.1102,906.2,Sandy,491.5,12.02,15.75,Agricultural,Low
19.6508,78.2497,1151.5,Loamy,222.2,16.72,8.82,Urban,Medium
19.5471,76.4711,493.0,Rocky,550.4,21.21,2.26,Agricultural,Low
18.1384,74.9084,783.4,Sandy,393.0,17.3,3.86,Barren,Low
16.5146,79.0754,835.5,Sandy,566.4,14.35,2.73,Agricultural,Medium
18.2166,79.5535,1248.6,Loamy,388.3,24.84,6.03,Barren,High
15.276,77.7828,415.5,Clayey,378.0,3.27,4.88,Forest,Medium
15.2157,76.2718,1363.0,Loamy,372.6,25.55,1.77,Agricultural,High
17.5917,73.3833,1067.5,Loamy,620.2,10.75,0.64,Forest,High
18.8004,77.5972,572.9,Loamy,730.7,17.02,6.71,Urban,Medium
20.4388,73.3039,1140.1,Sandy,569.0,23.55,4.62,Forest,Medium
15.3814,73.7288,307.4,Loamy,559.4,17.02,10.6,Urban,Low
16.6281,76.173,673.3,Clayey,675.1,17.64,0.6,Forest,Low
19.4763,75.1725,1022.9,Loamy,233.0,23.81,17.96,Agricultural,Medium
15.2241,77.5475,855.7,Sandy,378.6,26.96,1.84,Agricultural,Medium
19.5203,73.2277,822.3,Loamy,66.1,12.7,2.13,Agricultural,High
20.5482,73.7462,586.6,Loamy,320.1,1.0,1.77,Urban,High
19.6339,73.2808,934.5,Rocky,358.5,8.58,0.21,Agricultural,High
19.189,73.2211,921.0,Clayey,406.6,6.79,4.59,Barren,Medium
17.2063,79.7974,1076.6,Sandy,688.5,17.57,0.46,Forest,High
15.3454,75.9381,600.2,Rocky,297.3,7.97,4.8,Urban,Low
20.2116,76.3596,607.6,Loamy,185.5,15.0,2.8,Forest,High
16.5015,73.9066,675.8,Loamy,179.5,18.65,2.09,Urban,Low
17.5176,75.6088,1138.3,Rocky,418.8,7.43,2.09,Agricultural,High
17.2239,78.9135,1256.3,Clayey,621.9,27.03,5.37,Agricultural,High
16.1287,77.8263,415.1,Loamy,391.0,4.26,0.56,Barren,High
19.1456,77.1655,1358.5,Rocky,869.9,11.39,3.4,Agricultural,High
15.6722,78.6549,849.6,Clayey,331.5,25.24,0.51,Agricultural,Medium
18.2737,78.2046,614.0,Loamy,718.1,9.58,2.96,Barren,Medium
18.2146,75.7251,673.0,Sandy,544.5,4.32,8.79,Agricultural,Medium
20.7817,79.0907,734.4,Sandy,797.8,1.0,4.91,Agricultural,High
20.9237,73.5714,1392.0,Sandy,247.2,5.77,4.1,Forest,High
19.5614,78.6909,628.3,Sandy,356.8,17.77,2.6,Agricultural,Medium
19.2411,73.1777,580.5,Sandy,404.3,13.6,0.75,Urban,Medium
16.965,76.1063,984.0,Loamy,513.2,10.88,3.28,Agricultural,High
20.3731,78.3929,1195.7,Loamy,403.1,9.13,1.94,Agricultural,High
20.4454,75.95,200.0,Clayey,129.8,15.68,4.53,Barren,Low
18.8004,76.8643,736.1,Loamy,375.0,22.46,12.33,Urban,Medium
15.3101,73.4049,1398.4,Loamy,548.4,14.21,3.82,Barren,High
19.5647,78.8115,944.6,Loamy,379.2,22.01,2.68,Agricultural,High
20.7004,76.1597,794.1,Clayey,306.8,23.46,6.35,Forest,Medium
17.8333,74.7022,1265.6,Sandy,453.9,11.36,0.38,Agricultural,High
15.3383,77.611,913.1,Loamy,457.6,14.38,4.29,Agricultural,High
17.153,75.8948,1237.2,Loamy,398.8,8.34,0.07,Agricultural,High
18.0163,74.7959,1053.9,Sandy,379.6,4.65,2.6,Agricultural,High
20.6971,79.0952,684.3,Rocky,466.4,16.66,2.26,Barren,Low
15.4664,73.732,1413.2,Sandy,461.0,29.37,16.95,Urban,Medium
17.7822,78.6041,583.9,Loamy,645.2,4.07,2.28,Urban,High
20.8195,78.8723,1012.2,Loamy,389.3,16.76,5.86,Agricultural,High
15.6067,73.2179,803.3,Sandy,594.3,25.84,4.61,Agricultural,Medium
20.4559,79.7275,500.6,Sandy,205.9,11.0,0.92,Forest,High
15.2063,74.2463,664.2,Clayey,339.9,1.0,2.42,Agricultural,High
16.1191,75.0799,824.8,Loamy,449.9,11.23,1.33,Urban,Medium
15.8065,75.3887,789.1,Clayey,390.7,17.51,3.01,Agricultural,Medium
15.4906,73.3996,698.8,Sandy,620.9,31.42,0.3,Barren,Low
20.7036,74.1454,1001.5,Sandy,586.4,17.94,13.31,Barren,High
20.6204,76.4746,1061.5,Loamy,378.3,24.6,0.56,Agricultural,High
19.8774,76.8875,713.2,Sandy,390.1,26.61,4.36,Forest,Medium
15.775,73.2146,875.1,Sandy,527.8,24.52,1.13,Forest,High
17.3204,73.36,1052.4,Loamy,400.6,19.41,2.0,Forest,High
15.9172,73.3375,562.0,Loamy,454.8,14.51,2.02,Agricultural,High
19.5748,77.6728,1097.8,Sandy,633.1,4.2,8.3,Barren,High
19.1762,75.8135,1077.8,Clayey,149.4,19.64,8.42,Barren,Medium
18.4193,75.9662,654.9,Sandy,283.4,23.66,2.09,Barren,Low
19.0302,78.0902,462.7,Loamy,324.9,10.49,1.79,Agricultural,High
16.1004,76.6319,1025.7,Sandy,624.9,13.16,3.47,Urban,High
18.592,77.247,532.8,Loamy,674.2,6.22,1.91,Barren,High
15.2444,73.5329,1249.4,Rocky,184.8,10.99,6.77,Forest,Medium
20.6169,78.3703,1207.2,Sandy,580.1,13.96,4.54,Urban,Medium
17.7548,74.1447,832.5,Loamy,466.8,18.41,7.25,Agricultural,Medium
20.6835,77.3835,960.3,Sandy,440.9,13.31,1.62,Agricultural,High
17.845,76.3641,960.2,Sandy,257.2,22.83,2.51,Agricultural,Medium
20.8158,73.9975,1053.9,Clayey,485.0,16.57,0.19,Barren,Medium
16.972,77.7635,1242.0,Loamy,544.4,26.49,0.65,Barren,High
16.6155,74.413,1189.5,Loamy,585.8,12.58,2.44,Agricultural,High
17.0932,74.3704,259.3,Loamy,489.0,20.12,0.43,Agricultural,Medium
20.7292,77.5867,920.1,Loamy,342.8,11.88,12.01,Barren,Medium
17.812,76.4412,953.9,Loamy,518.0,24.1,0.06,Agricultural,High
19.2484,73.7927,1150.1,Loamy,276.6,21.67,7.23,Barren,High
20.1181,73.1489,1667.5,Sandy,645.8,21.08,8.26,Barren,Medium
16.7529,75.3345,950.8,Loamy,503.1,18.27,0.74,Agricultural,High
18.4099,75.0814,644.8,Sandy,235.8,10.77,0.85,Forest,High
19.0294,75.5973,1302.1,Clayey,437.3,16.11,1.28,Agricultural,Medium
16.9421,74.6628,760.4,Loamy,562.6,14.17,7.18,Agricultural,Medium
16.0896,79.9145,1440.2,Sandy,699.4,8.33,0.49,Barren,High
17.7752,73.0346,572.7,Sandy,560.5,11.36,0.2,Agricultural,High
17.9497,78.7728,595.3,Sandy,518.8,6.17,2.57,Forest,Medium
20.3806,78.1691,1050.3,Sandy,170.1,1.02,11.09,Forest,High
20.3913,78.1256,704.6,Clayey,470.9,1.0,13.65,Agricultural,Medium
15.1459,78.0734,768.8,Loamy,542.5,13.01,0.58,Forest,High
18.3677,75.7803,798.9,Sandy,335.3,26.78,2.74,Agricultural,Medium
20.9983,78.0344,958.4,Rocky,440.0,29.46,7.27,Urban,Medium
17.7495,75.3458,755.2,Sandy,784.7,7.38,1.45,Agricultural,Medium
18.7088,78.1989,807.2,Loamy,186.2,8.47,1.02,Barren,High
18.4697,79.6131,1465.4,Loamy,231.7,1.0,0.8,Agricultural,High
16.5476,78.0973,1516.9,Loamy,733.9,16.52,0.9,Forest,High
17.9907,77.7827,901.9,Loamy,401.2,13.29,8.76,Urban,Medium
20.1505,79.8144,1518.8,Loamy,362.6,16.48,1.0,Urban,High
